book_id,title,author,publication_year,isbn,language,series_name,series_number,genres,categories,audience,avg_rating,ratings_count,reviews_count,shelves,summary_original,summary_enriched,reviews_selected,full_text_combined,themes,motifs,tone,writing_style,character_types,narrative_structure,embedding_summary,embedding_enriched,embedding_final
33163379,Thornhill,,2017,162672654X,eng,,,,,,3.77,279,120,,"Parallel stories set in different times, one told in prose and one in pictures, converge as a Ella unravels the mystery of the girl next door.
1982: Mary is a lonely orphan at the Thornhill Institute For Children at the very moment that it's shutting its doors. When her few friends are all adopted or re-homed and she s left to face a volatile bully alone, her revenge will have a lasting effect on the bully, on Mary, and on Thornhill itself.
2016: Ella has just moved to a new town where she knows no one. From her room on the top floor of her new home, she has a perfect view of the dilapidated, abandoned Thornhill Institute across the way, where she glimpses a girl in the window. Determined to befriend the girl, Ella resolves to unravel Thornhill's shadowy past.
Told in alternating, interwoven plotlines Mary s through intimate diary entries and Ella s in bold, striking art Pam Smy s Thornhillis a haunting exploration of human connection, and a suspense-filled story.",,,,,,,,,,,,
33235413,A Campy Christmas (The Frannie Shoemaker Campground Mysteries #6),,2016,,eng,,,,,,4.18,3,3,,"A Holiday novella. The Shoemakers and Ferraros plan to spend Christmas in Texas with Larry and Jane Ann's brother and then take a camping trip through the Southwest. But those plans are stopped cold when they hit a rogue ice storm in Missouri and they end up snowbound in a campground. And that's just the beginning. Includes recipes and winter camping tips.
1 hour and 44 minutes",,,,,,,,,,,,
701564,"Shadow Falling (Avatars, #2)",,2007,0060851465,eng,,,,,,4.19,338,21,,"I was born in a world ruled by gods.
This worked out well for me, as I am a god.
For centuries we were the rulers of our worlds.
But things changed.
Now, the stakes are high.
Let the games begin. . . .
Caught in an ancient rivalry not of their making, on an earth devoid of all other humans, a group of teens learns they are avatars of immortal gods, put on earth in a form that's only too mortal. Now they are bound to fight one another--and only one of them can survive. Do they resist the forces controlling them and unite to save themselves and perhaps even return to their own time? Or can one of them win this battle and seize immortality and the life of a god? Tui T. Sutherland ups the ante in this second volume of her witty and absorbing fantasy trilogy about life, immortality, and what it means to live among the gods--and to do their dirty work.",,,,,,,,,,,,
6886113,Finding Monsieur Right,,2010,0091933358,eng,,,,,,3.37,202,31,,"A tale of two cities, two girls, and a life-altering swap offers frothy escapist delight
Daisy has just landed the perfect job: spending a year in Paris writing about fashion. Swapping homes with French student Isabelle seems like the perfect arrangement. Sensible and studious Isabelle, however, finds London bewildering but all her assumptions about crazy English guys are overturned when she meets hunky gardener Tom. Meanwhile, fun-loving Daisy discovers that Paris is the City of Love, and more than one Monsieur Right. From the sunny banks of the Seine to the chic suburbs of London, this utterly charming comedie romantiqueis a fresh and funny modern fairytale.",,,,,,,,,,,,
23556445,"Emerald (The Jewel Trilogy, #2)",,2014,1938907019,eng,,,,,,4.03,230,12,,"England & Scotland, 1667
Jason Chase, the Marquess of Cainewood, is out to bring a blackguard to justice when he crosses paths with a woeful Scottish lad. When the lad turns out to be a lovely Scottishlass, he realizes she must be the notorious bounty hunter Emerald MacCallum. Convinced they're after the same man and her very life may be in danger, Jason decides he must keep Emerald close...
In Caithren Leslie's view, there couldn't be enough distance between her and the handsome but overbearing Englishman. She's searching for her wayward brother, but Jason won't let a little thing like the truth interfere with his absurd conviction that she's living under an assumed identity. Mindful of the dangerous traveling conditions, Cait grudgingly accepts his protection. Until, that is, she begins to suspect that mistrust isn't the only emotion between them...and their mission for justice just might turn out to be a quest for love...",,,,,,,,,,,,
3392171,A Wind Named Amnesia / Invader Summer,,,1593079346,eng,,,,,,3.70,144,18,,"What was left for humankind after it lost all of its memories? The basis for the classic, beloved animated film, A Wind Named Amnesiaposes that question, as the world is wiped clean, the pasts of every man, woman, and child blotted out with the whisper of the passing breeze. What caused it--aliens, magic, or a war gone horribly wrong? When a young man named Wataru journeys across America in search of answers, he finds a world lost without the most basic knowledge. Can humanity rebuild from the aftermath?
In Invader Summer, a hot June afternoon in Yubue City is thrown into turmoil when a pale young girl appears, as if from nowhere, and captures the hearts of all the boys on the school playground. Quickly that love spreads, the entire town entranced by the beautiful young invader from outside their village. But a darkness has come to the town with the mysterious visitor, an otherworldly shadow that stretches across the blue mountain ranges, filled with menace and evil...",,,,,,,,,,,,
12101436,"The Annotated Sandman, Vol. 1",,2012,1401233325,eng,,,,,,4.46,595,64,,"A NEW YORK TIMES BESTSELLER
Meet the Endless, a family of immortals that govern all aspects of life and death throughout the universe. However, one of theirown lays captured--Dream, the Lord of Sleep. As Dream makes his escape and returns to his duties after 70 years of imprison-ment, he encounters countless characters from myth, legend and comics, from Lucifer himself to the tragic Greek hero Orpheusto the HELLBLAZER John Constantine.New York Times best-selling author Neil Gaiman's transcendent series SANDMAN is often hailed as the definitive Vertigo titleand one of the finest achievements in graphic storytelling. Gaiman created an unforgettable tale of the forces that exist beyondlife and death by weaving ancient mythology, folklore and fairy tales with his own distinct narrative vision.",,,,,,,,,,,,
826245,The Beauty of the Infinite: The Aesthetics of Christian Truth,,2004,080282921X,eng,,,,,,4.39,233,30,,"The Beauty of the Infiniteis a splendid extended essay in ""theological aesthetics."" David Bentley Hart here meditates on the power of a Christian understanding of beauty and sublimity to rise above the violence -- both philosophical and literal -- characteristic of the postmodern world.
The book begins by tracing the shifting use and nature of metaphysics in the thought of Kant, Hegel, Nietzsche, Heidegger, Lyotard, Derrida, Deleuze, Nancy, Levinas, and others. Hart pays special attention to Nietzsche's famous narrative of the ""will to power"" -- a narrative largely adopted by the world today -- and he offers an engaging revision (though not rejection) of the genealogy of nihilism, thereby highlighting the significant ""interruption"" that Christian thought introduced into the history of metaphysics.
This discussion sets the stage for a retrieval of the classic Christian account of beauty and sublimity, and of the relation of both to the question of being. Written in the form of a dogmatica minora, this main section of the book offers a pointed reading of the Christian story in four moments, or parts: Trinity, creation, salvation, and eschaton. Through a combination of narrative and argument throughout, Hart ends up demonstrating the power of Christian metaphysics not only to withstand the critiques of modern and postmodern thought but also to move well beyond them.
Strikingly original and deeply rewarding, The Beauty of the Infiniteis both a constructively critical account of the history of metaphysics and a compelling contribution to it.",,,,,,,,,,,,
16189979,Modern Recording Techniques,,,0240821572,eng,,,,,,3.94,17,3,,"As the most popular and authoritative guide to recording Modern Recording Techniques provides everything you need to master the tools and day to day practice of music recording and production. From room acoustics and running a session to mic placement and designing a studio Modern Recording Techniques will give you a really good grounding in the theory and industry practice. Expanded to include the latest digital audio technology the 7th edition now includes sections on podcasting, new surround sound formats and HD and audio.If you are just starting out or looking for a step up in industry, Modern Recording Techniques provides an in depth excellent read- the must have book",,,,,,,,,,,,
33160637,A Family for the Holidays,,,,eng,,,,,,4.80,10,3,,"Kelly Singer wants a family. Her mother, Kelly's only surviving relative, has early onset Alzheimer's Disease, and lives in an assisted living facility in Naples. Most of the time, she doesn't recognize Kelly, and watching her mother slip further and further away not only breaks Kelly's heart but increases her sense of isolation. She and Sky Ziegfeld, both hired by the new Minor League baseball team on Mimosa Key, now share a condo on that lovely tropical island off the west coast of Florida. They are fast becoming best friends and Kelly envies Sky her large family. Two of Sky's five brothers drove down from Philadelphia with Sky's belongings. That's when the trouble began.
Over the summer, Mike and Jed, visited frequently to watch the Bucks play. Mike, tall, handsome, and sporting a body honed at the fitness center he owns, captured Kelly's attention. She'd like to step up their relationship, but Mike, badly burned by his first love, has kept her firmly in the friend category.
Sky and Kelly urge him to consider Mimosa Key for his next fitness center, and when he visits to check out properties for it, his hard-won resistance to Kelly crumbles.
After a week of intimacy during which he carefully avoids any mention of a future together, Mike flies back to Philly leaving Kelly to wonder if there is any chance for a future together. The invitation from Sky's mother to spend Thanksgiving in Philadelphia causes Kelly much anguish. She doesn't want to abandon her mother for the holiday, nor is she ready to face Mike again. With a plan hatched by Sky's brothers that allows Kelly to visit her mother and still join them for Thanksgiving dinner, Sky convinces Kelly to accept the invitation.
Kelly loves the warm welcome she receives from the Ziegfeld family and wishes with all her heart that she could be a part of a family like Sky's. Mike gives her a tour of his center and she joins Sky and her dad in selecting a Christmas tree. It all seems perfect until disaster strikes. Mike's old flame pays a surprise visit, and Kelly's mother escapes the grounds of Harbor House. In her frantic scramble to return to Florida to join in the search, she may wind up leaving Mike behind--along with her heart.",,,,,,,,,,,,
